seller_id,zip_code,state,city,geolocation_lat,geolocation_lng,n_orders,average_score,perc_negative_reviews,perc_delays,average_delay_days
6560211a19b47992c3666cc44a7e94c0,5849,SP,sao paulo,-23.651114842510157,-46.75521082321932,2039,3.9094059405940595,17.704757233938206,6.742179072276159,6.264
4a3ca9315b744ce9f8e9374361493884,14940,SP,ibitinga,-21.7664768468313,-48.83154737836604,2009,3.803931451612903,19.51219512195122,11.960132890365449,9.87037037037037
1f50f920176fa81dab994f9023523100,15025,SP,sao jose do rio preto,-20.80243626346376,-49.39562406741489,1940,3.9824016563147,18.09278350515464,13.105413105413106,8.554347826086957
cc419e0650a3c5ba77189a1882b7556a,9015,SP,santo andre,-23.665703457960586,-46.51808196779969,1819,4.0695748205411375,14.953271028037383,6.213364595545134,6.632075471698113
da8622b14eb17ae2831f4ac5b9dab84a,13405,SP,piracicaba,-22.71683928585045,-47.65736585405934,1574,4.071428571428571,14.930114358322745,8.67579908675799,9.429824561403509
955fee9216a65b617aa5c0531780ce60,4782,SP,sao paulo,-23.693985995008337,-46.70188324132953,1501,4.0517125587642715,14.323784143904064,9.246309246309247,6.319327731092437
1025f0e2d44d7041d6cf58b6550e0bfa,3204,SP,sao paulo,-23.59798552039933,-46.55547278711988,1443,3.8497554157931515,20.374220374220375,14.316939890710383,5.122137404580153
7c67e1448b00f6e969d365cea6b010ab,8577,SP,itaquaquecetuba,-23.48262344063541,-46.37448952833195,1375,3.348207754206291,29.236363636363638,13.340122199592669,10.068702290076336
ea8482cd71df3c1969d7b9473ff13abc,4160,SP,sao paulo,-23.62358155176294,-46.61056007369148,1204,3.953216374269006,16.528239202657808,10.732984293193716,6.585365853658536
7a67c85e85bb2ce8582c35f2203ad736,3426,SP,sao paulo,-23.554079433810344,-46.53324185942636,1175,4.234991423670669,10.808510638297872,5.862068965517241,11.205882352941176
4869f7a5dfa277a7dca6462dcf3b52b2,14840,SP,guariba,-21.36235769739203,-48.232975701561735,1156,4.122822299651568,13.754325259515571,11.749116607773852,8.406015037593985
3d871de0142ce09b7081e2b9d1733cb1,13232,SP,campo limpo paulista,-23.20706431353269,-46.760735214610754,1148,4.11443661971831,12.456445993031359,6.203703703703703,9.0
8b321bb669392f5163d04c59e235e066,1212,SP,sao paulo,-23.537511255832708,-46.63705730743676,1018,3.995069033530572,17.092337917485263,10.922587486744433,7.902912621359223
cca3071e3e9bb7d12640c9fbe2301306,14940,SP,ibitinga,-21.7664768468313,-48.83154737836604,849,3.851985559566787,19.434628975265017,6.179775280898877,15.659090909090908
620c87c171fb2a6dd6e8bb4dec959fc6,25645,RJ,petropolis,-22.549033360244323,-43.210094724044055,804,4.215189873417722,13.557213930348258,10.135135135135135,9.453333333333333
a1043bafd471dff536d0c462352beb48,37175,MG,ilicinea,-20.944705621834668,-45.82709818233235,770,4.189048239895698,11.818181818181818,5.8495821727019495,8.547619047619047
e9779976487b77c6d4ac45f75ec7afe9,11701,SP,praia grande,-24.011288218359883,-46.41873374429398,751,4.167336010709505,12.916111850865512,8.37138508371385,10.672727272727272
f8db351d8c4c4c22c6835c19a46f01b0,13324,SP,salto,-23.20591698084141,-47.307845865803,726,4.218836565096953,10.606060606060606,6.296851574212893,5.9523809523809526
d2374cbcbb3ca4ab1086534108cc3ab7,14940,SP,ibitinga,-21.7664768468313,-48.83154737836604,657,3.6363636363636362,24.200913242009133,6.297709923664122,6.696969696969697
391fc6631aebcf3004804e51b40bcf1e,14940,SP,ibitinga,-21.7664768468313,-48.83154737836604,627,3.9533762057877815,16.427432216905903,11.406844106463879,7.983333333333333
fa1c13f2614d7b5c4749cbc52fecda94,13170,SP,sumare,-22.828654864562257,-47.267296160568925,586,4.34020618556701,10.409556313993175,10.085470085470085,9.779661016949152
7d13fca15225358621be4086e1eb0964,14050,SP,ribeirao preto,-21.17121748495008,-47.81941847157649,578,4.001742160278746,17.82006920415225,12.035398230088495,10.735294117647058
d91fb3b7d041e83b64a00a3edfb37e4f,11704,SP,praia grande,-24.026786758814687,-46.49304889148245,565,4.098039215686274,14.513274336283185,6.355140186915888,2.9705882352941178
128639473a139ac0f3e5f5ade55873a5,87050,PR,maringa,-23.437975269077903,-51.91385959802448,560,4.176895306859206,11.428571428571429,6.566604127579737,6.457142857142857
1835b56ce799e6a4dc4eddc053f04066,14940,SP,ibitinga,-21.7664768468313,-48.83154737836604,560,3.5938628158844765,25.535714285714285,13.711583924349881,7.655172413793103
46dc3b2cc0980fb8ec44634e21d2718e,22240,RJ,rio de janeiro,-22.93125598447676,-43.17881321481337,542,4.181308411214953,13.284132841328413,6.333973128598848,8.545454545454545
1900267e848ceeba8fa32d80c1a5f5a8,14940,SP,ibitinga,-21.7664768468313,-48.83154737836604,532,3.854961832061069,19.360902255639097,12.652068126520682,6.3076923076923075
85d9eb9ddc5d00ca9336a2219c97bb13,31255,MG,belo horizonte,-19.878513898894187,-43.95694702879617,525,4.172413793103448,10.476190476190476,3.536345776031434,4.611111111111111
53e4c6e0f4312d4d2107a8c9cddf45cd,13920,SP,pedreira,-22.73824150585765,-46.8958585777586,525,4.045889101338432,15.428571428571429,5.708245243128964,12.11111111111111
4e922959ae960d389249c378d1c939f5,12327,SP,jacarei,-23.29818595956356,-45.974828011182304,454,3.89532293986637,20.044052863436125,11.428571428571429,5.875
8581055ce74af1daba164fdbd55a40de,7112,SP,guarulhos,-23.465304114698757,-46.51148732089968,443,4.230769230769231,11.963882618510159,11.11111111111111,9.162790697674419
8160255418d5aaa7dbdc9f4c64ebda44,14940,SP,ibitinga,-21.7664768468313,-48.83154737836604,434,3.839160839160839,19.81566820276498,19.74025974025974,10.407894736842104
897060da8b9a21f655304d50fd935913,14092,SP,ribeirao preto,-21.174925033585303,-47.7686162776848,434,3.395348837209302,31.336405529953918,15.772870662460567,9.06
9f505651f4a6abe901a56cdc21508025,4102,SP,sao paulo,-23.59272363197529,-46.6315844403312,431,4.283372365339578,10.672853828306264,5.037783375314861,9.05
dbc22125167c298ef99da25668e1011f,37564,MG,borda da mata,-22.264093569966427,-46.15856420525942,430,4.226107226107226,10.0,2.4630541871921183,11.6
2138ccb85b11a4ec1e37afbd1c8eda1f,8250,SP,sao paulo,-23.539824031911863,-46.434679443937874,430,3.8997668997668997,17.906976744186046,5.808080808080808,8.217391304347826
218d46b86c1881d022bce9c68a7d4b15,14070,SP,ribeirao preto,-21.116471333054424,-47.79073400291418,429,4.142857142857143,13.053613053613054,9.793814432989691,11.578947368421053
53243585a1d6dc2643021fd1853d8905,42738,BA,lauro de freitas,-12.895112589380958,-38.33895999999978,410,4.075980392156863,12.439024390243903,4.4692737430167595,7.4375
16090f2ca825584b5a147ab24aa30c86,12940,SP,atibaia,-23.112774381969185,-46.5488845105504,410,4.044226044226044,14.390243902439025,10.945273631840797,7.181818181818182
06a2c3af7b3aee5d69171b0e14f0ee87,65072,MA,sao luis,-2.546079233971952,-44.3089863702464,406,4.00250626566416,16.00985221674877,24.23469387755102,6.3052631578947365
4d6d651bd7684af3fffabd5f08d12e5a,17209,SP,jau,-22.27568678711987,-48.542599749927895,397,4.1767676767676765,12.846347607052897,4.878048780487805,7.944444444444445
77530e9772f57a62c906e1c21538ab82,80310,PR,curitiba,-25.464029318048183,-49.30472794690424,392,4.053846153846154,17.346938775510203,13.75,8.363636363636363
de722cd6dad950a92b7d4f82673f8833,51250,PE,recife,-8.138173275583135,-34.9322264583223,379,4.159151193633952,12.928759894459104,4.424778761061947,6.2
c826c40d7b19f62a09e2d7c5e7295ee2,7133,SP,guarulhos,-23.44007914793122,-46.51144923980033,373,4.0431266846361185,16.621983914209114,9.322033898305085,6.848484848484849
92eb0f42c21942b6552362b9b114707d,3504,SP,sao paulo,-23.53877907744238,-46.53648566833056,365,3.930939226519337,16.71232876712329,7.9178885630498534,3.888888888888889
b2ba3715d723d245138f291a6fe42594,3470,SP,sao paulo,-23.57282057729816,-46.52329640383172,363,4.108333333333333,14.049586776859504,8.90207715133531,7.033333333333333
7299e27ed73d2ad986de7f7c77d919fa,38440,MG,araguari,-18.65223568071188,-48.19343213192182,361,4.421052631578948,7.202216066481994,5.029585798816568,7.882352941176471
4c2b230173bb36f9b240f2b8ac11786e,3933,SP,sao paulo,-23.58343069747245,-46.50203424424373,347,3.760932944606414,24.495677233429394,11.877394636015326,8.096774193548388
5dceca129747e92ff8ef7a997dc4f8ca,13450,SP,santa barbara d´oeste,-22.760477687572443,-47.41281121951772,346,3.991228070175439,19.36416184971098,6.153846153846154,7.7
7ddcbb64b5bc1ef36ca8c151f6ec77df,4403,SP,sao paulo,-23.667843855675457,-46.66038973120199,344,3.903225806451613,18.313953488372093,8.383233532934131,11.714285714285714
87142160b41353c4e5fca2360caf6f92,90230,RS,porto alegre,-30.00731246906908,-51.19422244408211,342,4.366568914956011,6.7251461988304095,6.229508196721311,6.052631578947368
fa40cc5b934574b62717c68f3d678b6d,2310,SP,sao paulo,-23.4719444074384,-46.59864459256161,341,4.430678466076696,8.504398826979472,6.514657980456026,10.95
ef506c96320abeedfb894c34db06f478,3569,SP,sao paulo,-23.541941545934563,-46.49095488842404,341,3.9020771513353116,17.59530791788856,8.950617283950617,10.827586206896552
7e93a43ef30c4f03f38b393420bc753a,6429,SP,barueri,-23.491791912543025,-46.94733309700014,340,4.206489675516224,12.058823529411764,5.357142857142857,14.833333333333334
c70c1b0d8ca86052f45a432a38b73958,13186,SP,hortolandia,-22.887514996879027,-47.19573904628551,338,4.3014925373134325,11.242603550295858,10.344827586206897,4.518518518518518
7142540dd4c91e2237acb7e911c4eba2,16301,SP,penapolis,-21.426570046543283,-50.06791761043272,334,4.042168674698795,14.071856287425149,8.150470219435737,9.307692307692308
1da3aeb70d7989d1e6d9b0e887f97c23,4265,SP,sao paulo,-23.58667354731954,-46.61242320483004,330,4.073170731707317,15.757575757575758,6.037735849056604,6.75
855668e0971d4dfd7bef1b6a4133b41b,13257,SP,itatiba,-22.995677703232374,-46.857106243157794,329,3.7253086419753085,24.012158054711247,13.782051282051283,10.0
70a12e78e608ac31179aea7f8422044b,12327,SP,jacarei,-23.29818595956356,-45.974828011182304,328,3.7699386503067487,21.036585365853657,11.11111111111111,7.142857142857143
634964b17796e64304cadf1ad3050fb7,21840,RJ,rio de janeiro,-22.87459850346245,-43.477731000000006,326,3.8584615384615386,19.32515337423313,11.567164179104477,11.032258064516128
c3cfdc648177fdbbbb35635a37472c53,80610,PR,curitiba,-25.46921399278664,-49.29393514695028,314,4.447284345047923,8.280254777070065,2.5179856115107913,1.7142857142857142
88460e8ebdecbfecb5f9601833981930,87030,PR,maringa,-23.41848622413047,-51.92625934548862,311,3.3516129032258064,32.154340836012864,23.79032258064516,8.135593220338983
fe2032dab1a61af8794248c8196565c9,13030,SP,campinas,-22.92991227115403,-47.07189552530681,306,4.3841059602649,9.477124183006536,8.843537414965986,13.538461538461538
37be5a7c751166fbc5f8ccba4119e043,4248,SP,sao paulo,-23.61411790980433,-46.60034800222169,286,4.301418439716312,9.44055944055944,2.573529411764706,9.142857142857142
0ea22c1cfbdc755f86b9b54b39c16043,35700,MG,sete lagoas,-19.46361254830593,-44.24441403023008,277,4.333333333333333,7.9422382671480145,1.6877637130801688,4.25
25c5c91f63607446a97b143d2d535d31,35680,MG,itauna,-20.08212660423176,-44.5732983518722,274,3.7032967032967035,22.62773722627737,10.126582278481013,7.3125
1554a68530182680ad5c8b042c3ab563,37580,MG,monte siao,-22.42880507067007,-46.569550269431765,272,4.2481481481481485,12.132352941176471,7.6923076923076925,15.263157894736842
562fc2f2c2863ab7e79a9e4388a58a14,13070,SP,campinas,-22.895876357204664,-47.0791850342778,270,4.235074626865671,9.62962962962963,3.4615384615384617,9.333333333333334
e9bc59e7b60fc3063eb2290deda4cced,87083,PR,maringa,-23.38219409935399,-51.95529780691714,269,3.9442379182156135,18.587360594795538,15.277777777777779,6.090909090909091
17e34d8224d27a541263c4c64b11a56b,14085,SP,riberao preto,-21.16850440882337,-47.79370519233655,268,4.139097744360902,13.805970149253731,8.235294117647058,10.80952380952381
a3a38f4affed601eb87a97788c949667,89204,SC,joinville,-26.283149245628717,-48.85128463059032,263,4.388461538461539,8.365019011406844,4.724409448818897,14.166666666666666
c3867b4666c7d76867627c2f7fb22e21,14580,SP,guara,-20.43399042630061,-47.81416224047547,261,3.853281853281853,22.22222222222222,11.020408163265307,11.814814814814815
dc4a0fc896dc34b0d5bfec8438291c80,14940,SP,ibitinga,-21.7664768468313,-48.83154737836604,258,3.744186046511628,22.093023255813954,7.359307359307359,10.117647058823529
e5a3438891c0bfdb9394643f95273d8e,13483,SP,limeira,-22.56835042131686,-47.44743947974489,257,3.8149606299212597,22.17898832684825,20.535714285714285,10.23913043478261
0241d4d5d36f10f80c644447315af0bd,80330,PR,curitiba,-25.472734941716197,-49.30563836747645,249,4.278225806451613,12.449799196787149,5.882352941176471,7.0
d1c281d3ae149232351cd8c8cc885f0d,14940,SP,ibitinga,-21.7664768468313,-48.83154737836604,249,3.8137651821862346,22.08835341365462,9.767441860465116,5.904761904761905
f457c46070d02cadd8a68551231220dd,87047,PR,maringa,-23.41000679702781,-51.88262571961486,242,3.7875,22.727272727272727,7.5376884422110555,9.2
37515688008a7a40ac93e3b2e4ab203f,17900,SP,dracena,-21.4988715,-51.53786099999999,240,4.084033613445378,10.833333333333334,10.526315789473685,8.416666666666666
7aa4334be125fcdd2ba64b3180029f14,18500,SP,laranjal paulista,-23.03582473318652,-47.8363026594829,240,4.054621848739496,16.25,14.746543778801843,8.4375
001cca7ae9ae17fb1caed9dfb1094831,29156,ES,cariacica,-20.297536576315476,-40.40086853731229,239,3.902542372881356,18.828451882845187,6.5,11.153846153846153
41b39e28db005d9731d9d485a83b4c38,9220,SP,santo andre,-23.624784000000005,-46.53954225000001,238,4.126050420168067,15.126050420168067,6.666666666666667,8.076923076923077
f7ba60f8c3f99e7ee4042fdef03b70c4,9628,SP,sao bernardo do campo,-23.66148702746846,-46.56416174311855,232,4.211206896551724,10.775862068965518,17.35159817351598,7.973684210526316
